id,url,name,level,pid,createtime,updatetime,isvalid,page,col1,col2,col3,bigpname,bigpid,ismall
1,https://www.amazon.de/gp/bestsellers/instant-video,"Amazon Instant Video",1,0,"2016-12-07 11:47:30",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,0
1-1,https://www.amazon.de/gp/bestsellers/instant-video/3047209031,"Action & Abenteuer",2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-10,https://www.amazon.de/gp/bestsellers/instant-video/3047217031,Horror,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-11,https://www.amazon.de/gp/bestsellers/instant-video/3178336031,"Independentfilm & Arthouse",2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-12,https://www.amazon.de/gp/bestsellers/instant-video/3187332031,Interaktiv,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-13,https://www.amazon.de/gp/bestsellers/instant-video/3047218031,International,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-14,https://www.amazon.de/gp/bestsellers/instant-video/3047219031,"Kinder & Familie",2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-15,https://www.amazon.de/gp/bestsellers/instant-video/3047220031,"Komödie & Unterhaltung",2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-16,https://www.amazon.de/gp/bestsellers/instant-video/3178337031,Kriegsfilm,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-17,https://www.amazon.de/gp/bestsellers/instant-video/3047221031,Krimi,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-18,https://www.amazon.de/gp/bestsellers/instant-video/3178338031,LGBT,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-19,https://www.amazon.de/gp/bestsellers/instant-video/3187333031,Musik,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-2,https://www.amazon.de/gp/bestsellers/instant-video/3047210031,Anime,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-20,https://www.amazon.de/gp/bestsellers/instant-video/3047223031,"Musikfilm Tanz & Theater",2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-21,https://www.amazon.de/gp/bestsellers/instant-video/3178281031,Reality-TV,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-22,https://www.amazon.de/gp/bestsellers/instant-video/3047222031,Romantik,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-23,https://www.amazon.de/gp/bestsellers/instant-video/3047224031,"Science Fiction",2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-24,https://www.amazon.de/gp/bestsellers/instant-video/3047215031,Sport,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-25,https://www.amazon.de/gp/bestsellers/instant-video/3047225031,Thriller,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-26,https://www.amazon.de/gp/bestsellers/instant-video/3047226031,Western,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-27,https://www.amazon.de/gp/bestsellers/instant-video/3047227031,Zeichentrick,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-3,https://www.amazon.de/gp/bestsellers/instant-video/3204882031,Bollywood,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-4,https://www.amazon.de/gp/bestsellers/instant-video/3047211031,Dokumentation,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-5,https://www.amazon.de/gp/bestsellers/instant-video/3047212031,Drama,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-6,https://www.amazon.de/gp/bestsellers/instant-video/3047213031,Erotik,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-7,https://www.amazon.de/gp/bestsellers/instant-video/3047214031,Fantasy,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-8,https://www.amazon.de/gp/bestsellers/instant-video/3178340031,Fitness,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
1-9,https://www.amazon.de/gp/bestsellers/instant-video/3047216031,Historienfilm,2,1,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,"Amazon Instant Video",1,1
10,https://www.amazon.de/gp/bestsellers/apparel,Bekleidung,1,0,"2016-12-07 11:47:30",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1,https://www.amazon.de/gp/bestsellers/apparel/1981665031,Damen,2,10,"2016-12-07 11:30:57",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-1,https://www.amazon.de/gp/bestsellers/apparel/1981666031,Accessoires,3,10-1,"2016-12-07 11:31:16",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-1-1,https://www.amazon.de/gp/bestsellers/apparel/1981667031,"Armwärmer & Muffs",4,10-1-1,"2016-12-07 11:33:22",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-10,https://www.amazon.de/gp/bestsellers/apparel/1981671031,Ohrenschützer,4,10-1-1,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-11,https://www.amazon.de/gp/bestsellers/apparel/1981696031,"Schals & Tücher",4,10-1-1,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-1-11-1,https://www.amazon.de/gp/bestsellers/apparel/1981698031,Halstücher,5,10-1-1-11,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-11-2,https://www.amazon.de/gp/bestsellers/apparel/1981697031,Kopftücher,5,10-1-1-11,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-11-3,https://www.amazon.de/gp/bestsellers/apparel/1981699031,Pashminas,5,10-1-1-11,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-11-4,https://www.amazon.de/gp/bestsellers/apparel/1981700031,Schals,5,10-1-1-11,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-11-5,https://www.amazon.de/gp/bestsellers/apparel/1981702031,Stolen,5,10-1-1-11,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-11-6,https://www.amazon.de/gp/bestsellers/apparel/1981701031,Umschlagtücher,5,10-1-1-11,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-12,https://www.amazon.de/gp/bestsellers/apparel/1981694031,Stirnbänder,4,10-1-1,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-13,https://www.amazon.de/gp/bestsellers/apparel/1981678031,Taschentücher,4,10-1-1,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-2,https://www.amazon.de/gp/bestsellers/apparel/1981672031,"Brillen & Zubehör",4,10-1-1,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-1-2-1,https://www.amazon.de/gp/bestsellers/apparel/1981674031,"Brillenbänder & -ketten",5,10-1-1-2,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-2-2,https://www.amazon.de/gp/bestsellers/apparel/1981673031,Brillenetuis,5,10-1-1-2,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-2-3,https://www.amazon.de/gp/bestsellers/apparel/1981675031,Brillenfassungen,5,10-1-1-2,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-2-4,https://www.amazon.de/gp/bestsellers/apparel/1981676031,Sonnenbrillen,5,10-1-1-2,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-2-5,https://www.amazon.de/gp/bestsellers/apparel/1983827031,Sportbrillen,5,10-1-1-2,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-3,https://www.amazon.de/gp/bestsellers/apparel/1981668031,Gürtel,4,10-1-1,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-4,https://www.amazon.de/gp/bestsellers/apparel/3013984031,Gürtelschnallen,4,10-1-1,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-5,https://www.amazon.de/gp/bestsellers/apparel/1981677031,"Handschuhe & Fäustlinge",4,10-1-1,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-6,https://www.amazon.de/gp/bestsellers/apparel/1981669031,Hosenträger,4,10-1-1,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-7,https://www.amazon.de/gp/bestsellers/apparel/1981679031,"Hüte & Mützen",4,10-1-1,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-1-7-1,https://www.amazon.de/gp/bestsellers/apparel/1981681031,"Baseball Caps",5,10-1-1-7,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-7-10,https://www.amazon.de/gp/bestsellers/apparel/1981688031,Schirmmützen,5,10-1-1-7,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-7-11,https://www.amazon.de/gp/bestsellers/apparel/1981692031,Sonnenhüte,5,10-1-1-7,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-7-12,https://www.amazon.de/gp/bestsellers/apparel/1981691031,Strickmützen,5,10-1-1-7,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-7-13,https://www.amazon.de/gp/bestsellers/apparel/1981680031,Sturmhauben,5,10-1-1-7,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-7-14,https://www.amazon.de/gp/bestsellers/apparel/1981693031,Visoren,5,10-1-1-7,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-7-2,https://www.amazon.de/gp/bestsellers/apparel/1981682031,"Baskenmützen & Barette",5,10-1-1-7,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-7-3,https://www.amazon.de/gp/bestsellers/apparel/1981686031,Cowboyhüte,5,10-1-1-7,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-7-4,https://www.amazon.de/gp/bestsellers/apparel/1981687031,"Fedora & Trilby",5,10-1-1-7,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-7-5,https://www.amazon.de/gp/bestsellers/apparel/1981685031,Fischerhüte,5,10-1-1-7,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-7-6,https://www.amazon.de/gp/bestsellers/apparel/1981683031,Fliegermützen,5,10-1-1-7,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-7-7,https://www.amazon.de/gp/bestsellers/apparel/1981684031,Melonen,5,10-1-1-7,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-7-8,https://www.amazon.de/gp/bestsellers/apparel/1981689031,Panamahüte,5,10-1-1-7,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-7-9,https://www.amazon.de/gp/bestsellers/apparel/1981690031,"Pork Pie-Hüte",5,10-1-1-7,"2016-12-07 11:40:29",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-8,https://www.amazon.de/gp/bestsellers/apparel/1981670031,"Mütze Schal & Handschuh-Sets",4,10-1-1,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-1-9,https://www.amazon.de/gp/bestsellers/apparel/1981695031,Nierenwärmer,4,10-1-1,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-10,https://www.amazon.de/gp/bestsellers/apparel/1981853031,"Kostüme & Blazer",3,10-1,"2016-12-07 11:31:16",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-10-1,https://www.amazon.de/gp/bestsellers/apparel/1981856031,Blazer,4,10-1-10,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-11,https://www.amazon.de/gp/bestsellers/apparel/1981836031,Latzhosen,3,10-1,"2016-12-07 11:31:16",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-12,https://www.amazon.de/gp/bestsellers/apparel/1981732031,Leggings,3,10-1,"2016-12-07 11:31:16",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-13,https://www.amazon.de/gp/bestsellers/apparel/1981825031,"Nachtwäsche & Bademäntel",3,10-1,"2016-12-07 11:31:17",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-13-1,https://www.amazon.de/gp/bestsellers/apparel/1983823031,Bademäntel,4,10-1-13,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-13-2,https://www.amazon.de/gp/bestsellers/apparel/1981827031,Morgenmäntel,4,10-1-13,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-13-3,https://www.amazon.de/gp/bestsellers/apparel/1981828031,Nachthemden,4,10-1-13,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-13-4,https://www.amazon.de/gp/bestsellers/apparel/1981826031,Schlafanzughosen,4,10-1-13,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-13-5,https://www.amazon.de/gp/bestsellers/apparel/1981831031,Schlafanzugoberteile,4,10-1-13,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-13-6,https://www.amazon.de/gp/bestsellers/apparel/1981830031,Schlafanzüge,4,10-1-13,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-13-7,https://www.amazon.de/gp/bestsellers/apparel/1981829031,Strampelanzüge,4,10-1-13,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-14,https://www.amazon.de/gp/bestsellers/apparel/1981725031,"Pullover & Strickjacken",3,10-1,"2016-12-07 11:31:17",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-14-1,https://www.amazon.de/gp/bestsellers/apparel/1981729031,Boleros,4,10-1-14,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-14-2,https://www.amazon.de/gp/bestsellers/apparel/1981728031,"Ponchos & Capes",4,10-1-14,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-14-3,https://www.amazon.de/gp/bestsellers/apparel/1981727031,Pullover,4,10-1-14,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-14-4,https://www.amazon.de/gp/bestsellers/apparel/1981730031,Pullunder,4,10-1-14,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-14-5,https://www.amazon.de/gp/bestsellers/apparel/1981726031,Strickjacken,4,10-1-14,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-14-6,https://www.amazon.de/gp/bestsellers/apparel/1981731031,Twin-Sets,4,10-1-14,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-15,https://www.amazon.de/gp/bestsellers/apparel/1981838031,Röcke,3,10-1,"2016-12-07 11:31:17",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-16,https://www.amazon.de/gp/bestsellers/apparel/1981839031,"Schnee- & Regenbekleidung",3,10-1,"2016-12-07 11:31:17",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
10-1-16-1,https://www.amazon.de/gp/bestsellers/apparel/1981840031,Regenhosen,4,10-1-16,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-16-2,https://www.amazon.de/gp/bestsellers/apparel/1981841031,Regenmäntel,4,10-1-16,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-16-3,https://www.amazon.de/gp/bestsellers/apparel/1981843031,Schneeanzüge,4,10-1-16,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-16-4,https://www.amazon.de/gp/bestsellers/apparel/1981842031,Schneehosen,4,10-1-16,"2016-12-07 11:33:23",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-17,https://www.amazon.de/gp/bestsellers/apparel/1981837031,Shorts,3,10-1,"2016-12-07 11:31:17",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,1
10-1-18,https://www.amazon.de/gp/bestsellers/apparel/1981844031,"Socken & Strümpfe",3,10-1,"2016-12-07 11:31:17",NULL,0,5,NULL,NULL,NULL,Bekleidung,10,0
